"Dalin Zhang, Lina Yao, Sen Wang, Kaixuan Chen, Zheng Yang and Boualem Benatallah",Fuzzy Integral Optimization with Deep Q-Network for EEG-based Intention Recognition,The 22nd Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD 2018),"Melbourne, Australia",Jun 3 - 6,2018,http://prada-research.net/pakdd18/
"Weitong Chen, Sen Wang, Xiang Zhang, Lina Yao, Lin Yue, Buyue Qian and Xue Li",EEG-based Motion Intention Recognition via Multi-task RNNs,SIAM International Conference on Data Mining (SDM 2018),"San Diego, USA",May 3 - 5,2018,http://www.siam.org/meetings/sdm18/
"Xiang Zhang, Lina Yao, Quan Z. Sheng, Salil S. Kanhere, Tao Gu and Dalin Zhang",Converting Your Thougts to Texts: Enabling Brain Typing via Deep Feature Learning of EEG Signals,IEEE International Conference on Pervasive Computing and Communications (Percom 2018),"Athens, Greece",Mar 19 - 23,2018,http://www.percom.org/
"Dalin Zhang, Lina Yao, Xiang Zhang, Sen Wang, Weitong Chen, Robert Boots",Cascade and Parallel Convolutional Recurrent Neural Networks on EEG-based Intention Recognition for Brain Computer Interface,The 32nd AAAI Conference on Artifical Intelligence (AAAI-18),"New Orleans, Lousiana, USA",Feb 2 - 7,2018,https://aaai.org/Conferences/AAAI/aaai18.php
"Xiang Zhang, Lina Yao, Chaoran Huang, QuanZheng Sheng and Xianzhi Wang",Intent Recognition in Smart Living Through Deep Recurrent Neural Networks,The 24th International Conference On Neural Information Processing (ICONIP 2017),"Guangzhou, China",November 14-18,2017,http://www.iconip2017.org/
"Xiang Zhang, Lina Yao, Dalin Zhang, Xianzhi Wang, Quan Z. Sheng and Tao Gu",Multi-Person Brain Activity Recognition via Comprehensive EEG Signal Analysis,"The 14th International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services (Mobiquitous 2017)","Melbourne, Australia",Nov 7 - 10,2017,http://mobiquitous.org/2017/
